ingredient_name;function1;function2;warning1;warning2;ingredient_origin;ingredient_charge
Saccharide Hydrolysate;Humectant;;;;Natural Derivative;Non-ionik
Saccharide Isomerate;Humectant;;;;Natural Derivative;Non-ionik
Saccharomyces Ferment;Miscellaneous;;;;Natural Derivative;Non-ionik
Saccharomyces Ferment Filtrate;Miscellaneous;;;;Natural Derivative;Non-ionik
Saccharomyces/Rice Ferment Filtrate;Miscellaneous;;;;Natural Derivative;Non-ionik
Saccharum Officinarum Extract;Humectant;;;;Natural;Non-ionik
Salicylic Acid;Miscellaneous;;Exfoliating;Irritant;Natural Derivative;Non-ionik
Salix Alba (Willow) Bark Extract;Miscellaneous;;;;Natural;Non-ionik
Salix Alba (Willow) Bark Water;Miscellaneous;Solvent;;;Natural;Non-ionik
Salix Nigra (Willow) Bark Extract;Miscellaneous;;;;Natural;Non-ionik
Salvia Hispanica Seed Extract;Miscellaneous;;;;Natural;Non-ionik
Salvia Sclarea (Clary) Oil;Perfum;;Allergen;;Natural;Non-ionik
Saxifraga Sarmentosa Extract;Miscellaneous;;;;Natural;Non-ionik
Sclareolide;Perfum;;Allergen;;Natural Derivative;Non-ionik
Scutellaria Alpina Flower/Leaf/Stem Extract;Miscellaneous;Antioxidant;;;Natural;Non-ionik
Scutellaria Baicalensis Root Extract;Antioxidant;Miscellaneous;;;Natural;Non-ionik
Sea Water;Miscellaneous;Solvent;Drying;;Natural;Non-ionik
Sericin;Miscellaneous;Film Forming Agent;Allergen;;Natural Derivative;Amfoterik
Serine;Miscellaneous;Humectant;;;Natural Derivative;Amfoterik
Sh-Oligopeptide-1;Miscellaneous;;;;Synthetic;Non-ionik
Sh-Oligopeptide-2;Miscellaneous;;;;Synthetic;Non-ionik
Sh-Polypeptide-1;Miscellaneous;;;;Synthetic;Non-ionik
Sh-Polypeptide-22;Miscellaneous;;;;Synthetic;Non-ionik
Sh-Polypeptide-3;Miscellaneous;;;;Synthetic;Non-ionik
Silica;Viscosity Increasing Agent-Non Aqueous;Abrasive;;;Natural;Non-ionik
Silica Dimethyl Silylate;Viscosity Increasing Agent-Non Aqueous;;;;Synthetic;Non-ionik
Simmondsia Chinensis (Jojoba) Seed Oil;Emollient;;;;Natural;Non-ionik
Sodium Acetate;pH Adjuster;;;;Natural Derivative;Anionik
Sodium Acetylated Hyaluronate;Humectant;;;;Natural Derivative;Anionik
Sodium Ascorbyl Phosphate;Antioxidant;;;;Synthetic;Anionik
Sodium Benzoate;Preservative;;;;Synthetic;Anionik
Sodium Benzotriazolyl Butylphenol Sulfonate;Sunscreen Agent;;;;Synthetic;Anionik
Sodium Bisulfite;Antioxidant;Preservative;;;Synthetic;Anionik
Sodium C14-16 Olefin Sulfonate;Cleansing Agent;;Irritant;Drying;Synthetic;Anionik
Sodium Carboxymethyl Beta-Glucan;Miscellaneous;Humectant;;;Natural Derivative;Anionik
Sodium Chloride;Viscosity Increasing Agent-Aqueous;;;;Natural;Non-ionik
Sodium Citrate;pH Adjuster;Chelating Agent;;;Natural Derivative;Anionik
Sodium Cocoamphoacetate;Cleansing Agent;;;;Natural Derivative;Amfoterik
Sodium Cocoyl Alaninate;Cleansing Agent;;;;Natural Derivative;Anionik
Sodium Cocoyl Glutamate;Cleansing Agent;;;;Natural Derivative;Anionik
Sodium Cocoyl Glycinate;Cleansing Agent;;;;Natural Derivative;Anionik
Sodium Cocoyl Isethionate;Cleansing Agent;;;;Natural Derivative;Anionik
Sodium Diethylenetriamine Pentamethylene Phosphonate;Chelating Agent;;;;Synthetic;Anionik
Sodium Dna;Miscellaneous;;;;Natural Derivative;Anionik
Sodium Gluceptate;Chelating Agent;;;;Synthetic;Anionik
Sodium Hyaluronate;Humectant;;;;Natural Derivative;Anionik
Sodium Hyaluronate Crosspolymer;Humectant;;;;Synthetic;Anionik
Sodium Hyaluronate Dimethylsilanol;Humectant;;;;Synthetic;Non-ionik
Sodium Hydrolyzed Potato Starch Dodecenylsuccinate;Viscosity Increasing Agent-Aqueous;;;;Natural Derivative;Anionik
Sodium Hydroxide;pH Adjuster;;Irritant;;Synthetic;Non-ionik
Sodium Lactate;Humectant;;;;Natural Derivative;Non-ionik
Sodium Laureth Sulfate;Cleansing Agent;;Irritant;Drying;Synthetic;Anionik
Sodium Lauroyl Aspartate;Cleansing Agent;;;;Natural Derivative;Anionik
Sodium Lauroyl Glutamate;Cleansing Agent;;;;Natural Derivative;Anionik
Sodium Lauroyl Lactylate;Cleansing Agent;Emulsifying;;;Natural Derivative;Anionik
Sodium Lauroyl Sarcosinate;Cleansing Agent;;;;Natural Derivative;Anionik
Sodium Metabisulfite;Antioxidant;Preservative;;;Synthetic;Anionik
Sodium Metaphosphate;Chelating Agent;;;;Synthetic;Anionik
Sodium Methyl Cocoyl Taurate;Cleansing Agent;;;;Natural Derivative;Anionik
Sodium Methyl Stearoyl Taurate;Cleansing Agent;Emulsifying;;;Natural Derivative;Anionik
Sodium Nitrate;Preservative;;;;Synthetic;Anionik
Sodium Palmitoyl Proline;Miscellaneous;;;;Synthetic;Anionik
Sodium Pca;Humectant;;;;Natural Derivative;Anionik
Sodium Phosphate;pH Adjuster;;;;Synthetic;Anionik
Sodium Phytate;Antioxidant;Chelating Agent;;;Natural Derivative;Anionik
Sodium Polyacrylate;Viscosity Increasing Agent-Aqueous;;;;Synthetic;Anionik
Sodium Polyacryloyldimethyl Taurate;Viscosity Increasing Agent-Aqueous;;;;Synthetic;Anionik
Sodium Polyaspartate;Humectant;;;;Natural Derivative;Anionik
Sodium Polynaphthalenesulfonate;Dispersant;;;;Synthetic;Anionik
Sodium Stearoyl Glutamate;Emulsifying;;;;Natural Derivative;Anionik
Sodium Sulfate;Viscosity Increasing Agent-Aqueous;;;;Natural;Anionik
Sodium Sulfite;Antioxidant;Preservative;;;Synthetic;Anionik
Solanum Lycopersicum (Tomato) Fruit Extract;Miscellaneous;Antioxidant;;;Natural;Non-ionik
Solanum Melongena (Eggplant) Fruit Extract;Miscellaneous;;;;Natural;Non-ionik
Sophora Angustifolia Root Extract;Miscellaneous;;;;Natural;Non-ionik
Sophora Japonica Bud Extract;Miscellaneous;;;;Natural;Non-ionik
Sorbic Acid;Preservative;;;;Synthetic;Non-ionik
Sorbitan Isostearate;Emulsifying;;;;Natural Derivative;Non-ionik
Sorbitan Olivate;Emulsifying;;;;Natural Derivative;Non-ionik
Sorbitol;Humectant;;;;Natural Derivative;Non-ionik
Sphingomonas Ferment Extract;Miscellaneous;;;;Natural Derivative;Non-ionik
Squalane;Emollient;;;;Natural Derivative;Non-ionik
Steareth-2;Emulsifying;;;;Synthetic;Non-ionik
Steareth-21;Emulsifying;;;;Synthetic;Non-ionik
Steareth-30;Emulsifying;;;;Synthetic;Non-ionik
Stearic Acid;Emulsifying;;Comedogenic;;Natural Derivative;Non-ionik
Stellaria Media (Chickweed) Extract;Miscellaneous;;;;Natural;Non-ionik
Stephania Tetrandra Root Extract;Miscellaneous;;;;Natural;Non-ionik
Streptococcus Thermophilus Ferment;Miscellaneous;;;;Natural Derivative;Non-ionik
Styrene/Acrylates Copolymer;Opacifying Agent;Film Forming Agent;;;Synthetic;Anionik
Succinic Acid;Miscellaneous;;;;Natural Derivative;Non-ionik
Sucrose Distearate;Emulsifying;;;;Natural Derivative;Non-ionik
Synthetic Fluorphlogopite;Colorant;;;;Synthetic;Non-ionik
Tamarindus Indica Seed Polysaccharide;Viscosity Increasing Agent-Aqueous;;;;Natural Derivative;Non-ionik
Tea-Cocoyl Glutamate;Cleansing Agent;;;;Natural Derivative;Anionik
Terephthalylidene Dicamphor Sulfonic Acid;Sunscreen Agent;;;;Synthetic;Anionik
Terminalia Ferdinandiana (Kakadu Plum) Fruit Extract;Antioxidant;;;;Natural;Non-ionik
Tetradecene;Emollient;Solvent;;;Synthetic;Non-ionik
Tetrapeptide-44;Miscellaneous;;;;Synthetic;Non-ionik
Tetrasodium Edta;Chelating Agent;;;;Synthetic;Anionik
Theobroma Cacao (Cocoa) Extract;Miscellaneous;Antioxidant;;;Natural;Non-ionik
Theobroma Cacao (Cocoa) Seed Extract;Miscellaneous;Antioxidant;;;Natural;Non-ionik
Thermus Thermophillus Ferment;Miscellaneous;;;;Natural Derivative;Non-ionik
Thiamine Hcl;Miscellaneous;;;;Synthetic;Kationik
Threonine;Miscellaneous;Humectant;;;Natural Derivative;Amfoterik
Thymol Trimethoxycinnamate;Sunscreen Agent;;;;Synthetic;Non-ionik
Tin Oxide;Colorant;;;;Natural;Non-ionik
Tocopherol;Antioxidant;;;;Natural Derivative;Non-ionik
Tocopheryl Acetate;Antioxidant;;;;Synthetic;Non-ionik
Tocotrienols;Antioxidant;;;;Natural Derivative;Non-ionik
Tranexamic Acid;Miscellaneous;;;;Synthetic;Non-ionik
Tranexamoyl Dipeptide-22;Miscellaneous;;;;Synthetic;Non-ionik
Tranexamoyl Dipeptide-23;Miscellaneous;;;;Synthetic;Non-ionik
Trehalose;Humectant;;;;Natural Derivative;Non-ionik
Tremella Fuciformis (Mushroom) Extract;Humectant;Miscellaneous;;;Natural;Non-ionik
Tremella Fuciformis Sporocarp Extract;Humectant;Miscellaneous;;;Natural;Non-ionik
Tributyl Citrate;Plasticizer;Solvent;;;Synthetic;Non-ionik
Tridecane;Emollient;Solvent;;;Synthetic;Non-ionik
Trideceth-9;Emulsifying;Solubiliser;;;Synthetic;Non-ionik
Triethoxycaprylylsilane;Solubiliser;;;;Synthetic;Non-ionik
Triethylhexanoin;Emollient;Solvent;Comedogenic;;Synthetic;Non-ionik
Tripeptide-1;Miscellaneous;;;;Synthetic;Non-ionik
Tripeptide-29;Miscellaneous;;;;Synthetic;Non-ionik
Tris(Tetramethylhydroxypiperidinol) Citrate;Antioxidant;;;;Synthetic;Non-ionik
Trisiloxane;Solvent;Emollient;;;Synthetic;Non-ionik
Trisodium Ethylenediamine Disuccinate;Chelating Agent;;;;Synthetic;Anionik
Triticum Vulgare Sprout Extract;Miscellaneous;;Allergen;;Natural;Non-ionik
Tromethamine;pH Adjuster;;;;Synthetic;Non-ionik
Tuber Magnatum Extract;Perfum;Miscellaneous;;;Natural;Non-ionik
Tyrosine;Miscellaneous;;;;Natural Derivative;Amfoterik
Ulmus Davidiana Root Extract;Miscellaneous;;;;Natural;Non-ionik
Ulva Lactuca Extract;Miscellaneous;;;;Natural;Non-ionik
Undaria Pinnatifida Extract;Miscellaneous;;;;Natural;Non-ionik
Undecane;Emollient;Solvent;;;Synthetic;Non-ionik
Undecylenoyl Phenylalanine;Miscellaneous;;;;Synthetic;Non-ionik
Urea;Humectant;Miscellaneous;;;Natural Derivative;Non-ionik
Valine;Miscellaneous;Humectant;;;Natural Derivative;Amfoterik
Vigna Radiata Seed Extract;Miscellaneous;;;;Natural;Non-ionik
Vinegar;Miscellaneous;pH Adjuster;Irritant;;Natural Derivative;Non-ionik
Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer;Viscosity Increasing Agent-Non Aqueous;;;;Synthetic;Non-ionik
Xanthan Gum;Viscosity Increasing Agent-Aqueous;;;;Natural Derivative;Anionik
Xylitol;Humectant;;;;Natural Derivative;Non-ionik
Xylitylglucoside;Humectant;;;;Natural Derivative;Non-ionik
Xylose;Humectant;;;;Natural Derivative;Non-ionik
Yeast Extract;Miscellaneous;;;;Natural Derivative;Non-ionik
Zea Mays (Corn) Kernel Extract;Miscellaneous;;;;Natural;Non-ionik
Zea Mays (Corn) Starch;Viscosity Increasing Agent-Aqueous;Occlusive;;;Natural;Non-ionik
Zinc Pca;Miscellaneous;;;;Synthetic;Non-ionik
Zinc Pyrithione;Miscellaneous (Anti-dandruff Agent);;Irritant;Drying;Synthetic;Non-ionik
Zinc Stearate;Viscosity Increasing Agent-Non Aqueous;Opacifying Agent;;;Natural Derivative;Non-ionik
